Id_x,TweetId,Url,ExpandedUrl_x,DisplayUrl,UserId,NewsId,ExpandedUrl_y,ShortUrl,SourceUrl
1947138,11014394750181376,http://tl.gd/7a403k,http://tl.gd/7a403k,http://tl.gd/7a403k,60472240,26669,http://tl.gd/7a403k,http://tl.gd/7a403k,http://tl.gd
1947209,11014545900310529,http://is.gd/ibCbJ,http://is.gd/ibCbJ,http://is.gd/ibCbJ,21478415,26676,http://is.gd/ibCbJ,http://is.gd/ibCbJ,http://is.gd
1947210,11014545900310529,http://yfrog.com/3tg9n0j,http://yfrog.com/3tg9n0j,http://yfrog.com/3tg9n0j,21478415,26677,http://yfrog.com/3tg9n0j,http://yfrog.com/3tg9n0j,http://yfrog.com
1947238,11014772107517952,http://bit.ly/gFYcGy,http://bit.ly/gFYcGy,http://bit.ly/gFYcGy,173320942,26680,http://bit.ly/gFYcGy,http://bit.ly/gFYcGy,http://bit.ly
1947303,11015233791328256,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,21352313,26687,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com
1947303,11015233791328256,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,21352313,27740,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com/blog/2010/12/02/daniel-ellsberg-says-boycott-amazon/,http://www.antiwar.com
1947327,11015292469641216,http://dlvr.it/9jXlK,http://dlvr.it/9jXlK,http://dlvr.it/9jXlK,57869243,26689,http://dlvr.it/9jXlK,http://dlvr.it/9jXlK,http://dlvr.it
1947336,11015298391998464,http://dlvr.it/9jXld,http://dlvr.it/9jXld,http://dlvr.it/9jXld,57869243,26695,http://dlvr.it/9jXld,http://dlvr.it/9jXld,http://dlvr.it
1947377,11015427610124288,http://tl.gd/7a4229,http://tl.gd/7a4229,http://tl.gd/7a4229,60472240,26704,http://tl.gd/7a4229,http://tl.gd/7a4229,http://tl.gd
1947453,11015625459638272,http://goo.gl/BE3I8,http://goo.gl/BE3I8,http://goo.gl/BE3I8,115561720,26714,http://goo.gl/BE3I8,http://goo.gl/BE3I8,http://goo.gl
1947453,11015625459638272,http://goo.gl/BE3I8,http://goo.gl/BE3I8,http://goo.gl/BE3I8,115561720,31247,http://goo.gl/BE3I8,http://goo.gl/BE3I8,http://goo.gl
1947485,11015771039731712,http://tl.gd/7a42nm,http://tl.gd/7a42nm,http://tl.gd/7a42nm,60472240,26717,http://tl.gd/7a42nm,http://tl.gd/7a42nm,http://tl.gd
1947528,10876375661543425,http://bbc.in/gGX8Bs,http://bbc.in/gGX8Bs,http://bbc.in/gGX8Bs,742143,26722,http://bbc.in/gGX8Bs,http://bbc.in/gGX8Bs,http://bbc.in
1947622,11016430594031616,http://vexxhost.com/,http://vexxhost.com/,http://vexxhost.com/,200782444,26732,http://vexxhost.com/,http://vexxhost.com/,http://vexxhost.com
1947649,11016545329221632,http://tl.gd/7a44a7,http://tl.gd/7a44a7,http://tl.gd/7a44a7,60472240,26738,http://tl.gd/7a44a7,http://tl.gd/7a44a7,http://tl.gd
1947690,11016871767703552,http://goo.gl/VHWw7,http://goo.gl/VHWw7,http://goo.gl/VHWw7,115561720,26742,http://goo.gl/VHWw7,http://goo.gl/VHWw7,http://goo.gl
1947725,11016989422125056,http://bit.ly/aWfwuL,http://bit.ly/aWfwuL,http://bit.ly/aWfwuL,200782444,18144,http://bit.ly/aWfwuL,http://bit.ly/aWfwuL,http://bit.ly
1947725,11016989422125056,http://bit.ly/aWfwuL,http://bit.ly/aWfwuL,http://bit.ly/aWfwuL,200782444,26745,http://bit.ly/aWfwuL,http://bit.ly/aWfwuL,http://bit.ly
1947785,11017216023592960,http://bit.ly/Nati,http://bit.ly/Nati,http://bit.ly/Nati,140791698,26753,http://bit.ly/Nati,http://bit.ly/Nati,http://bit.ly
1947897,11017786239229952,http://tl.gd/7a46q1,http://tl.gd/7a46q1,http://tl.gd/7a46q1,60472240,26770,http://tl.gd/7a46q1,http://tl.gd/7a46q1,http://tl.gd
1947950,11018065101717505,http://tl.gd/7a47c5,http://tl.gd/7a47c5,http://tl.gd/7a47c5,181127761,26779,http://tl.gd/7a47c5,http://tl.gd/7a47c5,http://tl.gd
1947961,11018130490916864,http://goo.gl/tADzf,http://goo.gl/tADzf,http://goo.gl/tADzf,115561720,26782,http://goo.gl/tADzf,http://goo.gl/tADzf,http://goo.gl
1947962,11018133938638848,http://ow.ly/3hfB2,http://ow.ly/3hfB2,http://ow.ly/3hfB2,16615594,26783,http://ow.ly/3hfB2,http://ow.ly/3hfB2,http://ow.ly
1948146,11018836425842688,http://tl.gd/7a48s5,http://tl.gd/7a48s5,http://tl.gd/7a48s5,60472240,26810,http://tl.gd/7a48s5,http://tl.gd/7a48s5,http://tl.gd
1948172,11018908593029120,http://tl.gd/7a490l,http://tl.gd/7a490l,http://tl.gd/7a490l,181127761,26815,http://tl.gd/7a490l,http://tl.gd/7a490l,http://tl.gd
1948218,11019154588958720,http://dlvr.it/9jZQN,http://dlvr.it/9jZQN,http://dlvr.it/9jZQN,57869243,26819,http://dlvr.it/9jZQN,http://dlvr.it/9jZQN,http://dlvr.it
1948219,11019155612372992,http://dlvr.it/9jZQq,http://dlvr.it/9jZQq,http://dlvr.it/9jZQq,57869243,26820,http://dlvr.it/9jZQq,http://dlvr.it/9jZQq,http://dlvr.it
1948311,11019400584888320,http://goo.gl/yFKKz,http://goo.gl/yFKKz,http://goo.gl/yFKKz,115561720,26832,http://goo.gl/yFKKz,http://goo.gl/yFKKz,http://goo.gl
1948404,11019688754548736,http://tl.gd/7a4ah6,http://tl.gd/7a4ah6,http://tl.gd/7a4ah6,60472240,26848,http://tl.gd/7a4ah6,http://tl.gd/7a4ah6,http://tl.gd
1948441,11019842270265345,http://huff.to/hZbeXG,http://huff.to/hZbeXG,http://huff.to/hZbeXG,140791698,26853,http://huff.to/hZbeXG,http://huff.to/hZbeXG,http://huff.to
1948441,11019842270265345,http://huff.to/hZbeXG,http://huff.to/hZbeXG,http://huff.to/hZbeXG,140791698,31341,http://huff.to/hZbeXG,http://huff.to/hZbeXG,http://huff.to
1948518,11020146973872128,http://huff.to/hABtCz,http://huff.to/hABtCz,http://huff.to/hABtCz,140791698,26866,http://huff.to/hABtCz,http://huff.to/hABtCz,http://huff.to
1948570,11020250514464768,http://tl.gd/7a4bk5,http://tl.gd/7a4bk5,http://tl.gd/7a4bk5,181127761,26876,http://tl.gd/7a4bk5,http://tl.gd/7a4bk5,http://tl.gd
1948687,11020647547281408,http://goo.gl/V7ljU,http://goo.gl/V7ljU,http://goo.gl/V7ljU,115561720,26893,http://goo.gl/V7ljU,http://goo.gl/V7ljU,http://goo.gl
1948778,11020901860515840,http://tl.gd/7a4cim,http://tl.gd/7a4cim,http://tl.gd/7a4cim,60472240,26904,http://tl.gd/7a4cim,http://tl.gd/7a4cim,http://tl.gd
1948806,11020975978053632,http://huff.to/ce53s4,http://huff.to/ce53s4,http://huff.to/ce53s4,140791698,26909,http://huff.to/ce53s4,http://huff.to/ce53s4,http://huff.to
1948858,11021138926772225,http://huff.to/htIzCm,http://huff.to/htIzCm,http://huff.to/htIzCm,140791698,26918,http://huff.to/htIzCm,http://huff.to/htIzCm,http://huff.to
1948895,11021311660793856,http://tl.gd/7a4dlc,http://tl.gd/7a4dlc,http://tl.gd/7a4dlc,181127761,26922,http://tl.gd/7a4dlc,http://tl.gd/7a4dlc,http://tl.gd
1948913,11021424340770816,http://engt.co/hqO6hK,http://engt.co/hqO6hK,http://engt.co/hqO6hK,103415179,26926,http://engt.co/hqO6hK,http://engt.co/hqO6hK,http://engt.co
1948939,11021525209579520,http://goo.gl/news/FbBR,http://goo.gl/news/FbBR,http://goo.gl/news/FbBR,11966392,26928,http://goo.gl/news/FbBR,http://goo.gl/news/FbBR,http://goo.gl
1948987,11021694143561728,http://tl.gd/7a4ec3,http://tl.gd/7a4ec3,http://tl.gd/7a4ec3,60472240,26935,http://tl.gd/7a4ec3,http://tl.gd/7a4ec3,http://tl.gd
1949004,11021747306373120,http://goo.gl/news/WZLH,http://goo.gl/news/WZLH,http://goo.gl/news/WZLH,11966392,26938,http://goo.gl/news/WZLH,http://goo.gl/news/WZLH,http://goo.gl
1949098,11022050294501377,http://tl.gd/7a4f3u,http://tl.gd/7a4f3u,http://tl.gd/7a4f3u,60472240,26953,http://tl.gd/7a4f3u,http://tl.gd/7a4f3u,http://tl.gd
1949124,11022247015747585,http://yfrog.com/mqqfm0123j,http://yfrog.com/mqqfm0123j,http://yfrog.com/mqqfm0123j,96535829,26954,http://yfrog.com/mqqfm0123j,http://yfrog.com/mqqfm0123j,http://yfrog.com
1949128,11022276904357888,http://yfrog.com/2ph0s0j,http://yfrog.com/2ph0s0j,http://yfrog.com/2ph0s0j,96535829,26955,http://yfrog.com/2ph0s0j,http://yfrog.com/2ph0s0j,http://yfrog.com
1949148,11022340045406208,http://goo.gl/news/5xFQ,http://goo.gl/news/5xFQ,http://goo.gl/news/5xFQ,11966392,26957,http://goo.gl/news/5xFQ,http://goo.gl/news/5xFQ,http://goo.gl
1949171,11022456252796928,http://tl.gd/7a4fsn,http://tl.gd/7a4fsn,http://tl.gd/7a4fsn,60472240,26958,http://tl.gd/7a4fsn,http://tl.gd/7a4fsn,http://tl.gd
1949179,11022492223148032,http://goo.gl/news/1EN0,http://goo.gl/news/1EN0,http://goo.gl/news/1EN0,11966392,26960,http://goo.gl/news/1EN0,http://goo.gl/news/1EN0,http://goo.gl
1949187,11022502855704576,http://nyti.ms/fNbwWP,http://nyti.ms/fNbwWP,http://nyti.ms/fNbwWP,140791698,26961,http://nyti.ms/fNbwWP,http://nyti.ms/fNbwWP,http://nyti.ms
1949240,11022871992213504,http://goo.gl/fb/C9oGN,http://goo.gl/fb/C9oGN,http://goo.gl/fb/C9oGN,9567382,26964,http://goo.gl/fb/C9oGN,http://goo.gl/fb/C9oGN,http://goo.gl
1949257,11022915269042176,http://tl.gd/7a4gq6,http://tl.gd/7a4gq6,http://tl.gd/7a4gq6,181127761,26968,http://tl.gd/7a4gq6,http://tl.gd/7a4gq6,http://tl.gd
1949312,11023178704887808,http://dlvr.it/9jcKp,http://dlvr.it/9jcKp,http://dlvr.it/9jcKp,57869243,26976,http://dlvr.it/9jcKp,http://dlvr.it/9jcKp,http://dlvr.it
1949315,11023181557014528,http://dlvr.it/9jcLZ,http://dlvr.it/9jcLZ,http://dlvr.it/9jcLZ,57869243,26979,http://dlvr.it/9jcLZ,http://dlvr.it/9jcLZ,http://dlvr.it
1949396,11023463229693952,http://bit.ly/eawPAH,http://bit.ly/eawPAH,http://bit.ly/eawPAH,124548367,26986,http://bit.ly/eawPAH,http://bit.ly/eawPAH,http://bit.ly
1949425,11023598269497344,http://tl.gd/7a4i6b,http://tl.gd/7a4i6b,http://tl.gd/7a4i6b,60472240,26993,http://tl.gd/7a4i6b,http://tl.gd/7a4i6b,http://tl.gd
1949462,11023782420418560,http://tl.gd/7a4ih8,http://tl.gd/7a4ih8,http://tl.gd/7a4ih8,138535568,27002,http://tl.gd/7a4ih8,http://tl.gd/7a4ih8,http://tl.gd
1949531,11024037639622657,http://j.mp/fpfJn0,http://j.mp/fpfJn0,http://j.mp/fpfJn0,29711378,27011,http://j.mp/fpfJn0,http://j.mp/fpfJn0,http://j.mp
1949626,11024405626880000,http://tl.gd/7a4jps,http://tl.gd/7a4jps,http://tl.gd/7a4jps,60472240,27024,http://tl.gd/7a4jps,http://tl.gd/7a4jps,http://tl.gd
1949918,11025141173587968,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com/pages/PreppyTrice/163009917065770,29711378,24844,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com
1949918,11025141173587968,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com/pages/PreppyTrice/163009917065770,29711378,27055,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com/pages/PreppyTrice/163009917065770,http://www.facebook.com
1950039,11025745195307008,http://tl.gd/7a4mee,http://tl.gd/7a4mee,http://tl.gd/7a4mee,138535568,27064,http://tl.gd/7a4mee,http://tl.gd/7a4mee,http://tl.gd
1950080,11025928901632001,http://tl.gd/7a4mra,http://tl.gd/7a4mra,http://tl.gd/7a4mra,60472240,27066,http://tl.gd/7a4mra,http://tl.gd/7a4mra,http://tl.gd
1950114,11026023604813824,http://tl.gd/7a4n1e,http://tl.gd/7a4n1e,http://tl.gd/7a4n1e,138535568,27071,http://tl.gd/7a4n1e,http://tl.gd/7a4n1e,http://tl.gd
1950165,11026262764027904,http://bit.ly/gV0GM5,http://bit.ly/gV0GM5,http://bit.ly/gV0GM5,21352313,27079,http://bit.ly/gV0GM5,http://bit.ly/gV0GM5,http://bit.ly
1950174,11026275271450624,http://plixi.com/p/60880639,http://plixi.com/p/60880639,http://plixi.com/p/60880639,138535568,27080,http://plixi.com/p/60880639,http://plixi.com/p/60880639,http://plixi.com
1950271,11026602372628480,http://nyti.ms/dEm7qu,http://nyti.ms/dEm7qu,http://nyti.ms/dEm7qu,176051496,27091,http://nyti.ms/dEm7qu,http://nyti.ms/dEm7qu,http://nyti.ms
1950287,11026702561968128,http://tl.gd/7a4oeq,http://tl.gd/7a4oeq,http://tl.gd/7a4oeq,60472240,27093,http://tl.gd/7a4oeq,http://tl.gd/7a4oeq,http://tl.gd
1950309,11026828055547904,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk/news/world-us-canada-11917891,159214949,27096,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk/news/world-us-canada-11917891,http://www.bbc.co.uk
1950341,11026953482014720,http://tl.gd/7a4ouj,http://tl.gd/7a4ouj,http://tl.gd/7a4ouj,138535568,27101,http://tl.gd/7a4ouj,http://tl.gd/7a4ouj,http://tl.gd
1950348,11026999480950784,http://bit.ly/e4j5Y3,http://bit.ly/e4j5Y3,http://bit.ly/e4j5Y3,103415179,27103,http://bit.ly/e4j5Y3,http://bit.ly/e4j5Y3,http://bit.ly
1950351,11027000361746434,http://bit.ly/g371KU,http://bit.ly/g371KU,http://bit.ly/g371KU,103415179,27104,http://bit.ly/g371KU,http://bit.ly/g371KU,http://bit.ly
1950451,11027306273308672,http://bit.ly/gE8CwG,http://bit.ly/gE8CwG,http://bit.ly/gE8CwG,124548367,27112,http://bit.ly/gE8CwG,http://bit.ly/gE8CwG,http://bit.ly
1950472,11027409973284864,http://dlvr.it/9jdxX,http://dlvr.it/9jdxX,http://dlvr.it/9jdxX,57869243,27115,http://dlvr.it/9jdxX,http://dlvr.it/9jdxX,http://dlvr.it
