index,UserId,TimeStamp,Text,Extracted_Links,Tokens,TopicInterests
900,19136776,0,"sorry  I fell asleep -- was at a sushi/sake tasting RT @Antalianna: @ValentiLaw Why aren't you sleeping? @leyla_a I can do toy run anytime. I just need a little notice2 get the Barbie out of bed, dressed, and back into the box! ;)  #SSCelebrate",[],"['fell', 'asleep', 'sushisake', 'tasting', 'sleeping', 'toy', 'anytime', 'notice', 'barbie', 'bed', 'dressed', 'box']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
901,19136776,1,RT @HuffingtonPost: POLL: What Russian City Do You Most Want To Visit For The 2018 World Cup? http://huff.to/fsjzD8,['http://huff.to/fsjzD8'],"['poll', 'russian', 'city', 'visit', 'cup']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
902,19136776,2,@laurajdaley enjoy! :) Fashion World's New 'Obsession' http://shar.es/XfX2X @ZahidaKhan thanks for #FF,['http://shar.es/XfX2X'],"['enjoy', 'fashion', 'worlds', 'obsession']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.912, 0.0, 0.0, 0.0, 0.0, 0.0]"
921,19445829,0,And I can't forget to mention the hangover. I'm bloody jet-lagged from the trousers up -- no joke! Can't forget: Happy Hanukkah to all my Jewish friends!  :) Major gps issues #uksnow,[],"['forget', 'mention', 'hangover', 'bloody', 'jetlagged', 'trousers', 'joke', 'forget', 'happy', 'hanukkah', 'jewish', 'friends', 'major', 'gps', 'issues', 'uksnow']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.976, 0.0, 0.0, 0.0, 0.0, 0.0]"
922,19445829,1,RT @BBCNews: Football violence 'like warzone' http://bbc.in/f2xKNd The Man Who Played God (Feat. Suzanne Vega) Danger Mouse & Sparklehorse. RIP Mark Linkous 11/9/1962-3/6/2010 http://t.co/pcIaVs8 via @amazon RT @thedailybeast: World Cup Hopefuls Face Off...U.S. wants to host 2022 games. http://thebea.st/ejDTtN #cheatsheet via @bloombergnews http://twitpic.com/3c7oci RT @ImSoExotic: Me and my SEXY girlfriend @MissMaache  http://plixi.com/p/60506731,"['http://bbc.in/f2xKNd', 'http://t.co/pcIaVs8', 'http://thebea.st/ejDTtN', 'http://twitpic.com/3c7oci', 'http://plixi.com/p/60506731']","['football', 'violence', 'warzone', 'man', 'played', 'god', 'feat', 'suzanne', 'vega', 'danger', 'mouse', 'rip', 'mark', 'linkous', 'cup', 'hopefuls', 'face', 'offus', 'host', 'games', 'cheatsheet', 'sexy', 'girlfriend']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
923,19445829,2,RT @THE_REAL_MACK: Harry Potter and the University of Phoenix #boringmovies RT @BBCNews: Weatherman visits 'coldest place in UK' http://bbc.in/i3rVN5,['http://bbc.in/i3rVN5'],"['harry', 'potter', 'university', 'phoenix', 'weatherman', 'visits', 'coldest', 'place']","[0.0, 0.0, 0.954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
947,19651092,0,"RT @JeffreyLin: we're co-hosting with @HamzeiAnalytics ""Trader Tax Webinar with Steve Ribble @ShrinkMyTaxes"" Wed Dec 8th 1800 CT http:// ... REMEMBER THIS = $ES_F #futures = You can’t fall in love with your trades. If you get in, you need an exit (cont) http://tl.gd/78iuop",['http://tl.gd/78iuop'],"['cohosting', 'trader', 'tax', 'webinar', 'steve', 'ribble', 'dec', 'remember', 'esf', 'futures', 'fall', 'love', 'trades', 'exit', 'cont']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
948,19651092,1,RT @BreakingNews: U.N. atomic watchdog chief: Revelations about N. Korea's expanded nuclear program are of 'great concern' - Reuters DISCLAIMER: The information and data in the following report(s) were obtained from sources considered reliable.  (cont) http://tl.gd/794te9,['http://tl.gd/794te9'],"['atomic', 'watchdog', 'chief', 'koreas', 'expanded', 'nuclear', 'program', 'great', 'concern', 'reuters', 'disclaimer', 'data', 'reports', 'sources', 'considered', 'reliable', 'cont', 'httptlgdte']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.979, 0.0, 0.0, 0.0, 0.0, 0.0]"
949,19651092,2,RT @businessinsider: Here's Everything You Need To Know For Today's Big Jobs Report http://read.bi/eEdJic RT @Benzinga: Taiwanese Stock Market Hits Another 52-Week High http://t.co/o8GSSLS,"['http://read.bi/eEdJic', 'http://t.co/o8GSSLS']","['todays', 'big', 'jobs', 'report', 'taiwanese', 'stock', 'market', 'hits', 'week', 'high']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.963]"
963,19879777,0,"RT @RealOldHouswife: @ImaJustSaying No girl- you're are style leader- the very first with mumu titty tassles. You're a trend setter @BobbiNJ  I hope it does too :-) RT @BravoAndy: Snack at home while watching? RT @kikilet: @BravoAndy i like the show #topchef, but i really wanna TRY the food. Its tv t ...",[],"['girl', 'style', 'leader', 'mumu', 'titty', 'tassles', 'trend', 'setter', 'hope', 'snack', 'watching', 'topchef', 'wan', 'food']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
