,UserId,FinalInterests
0,989,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.25931063294410706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05340835824608803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14097753167152405, 0.0, 0.2186659425497055, 0.0, 0.0, 0.0, 0.05464346334338188, 0.0, 0.0, 0.05726452171802521, 0.0, 0.0]"
1,3839,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2811037003993988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.060836561024188995, 0.0, 0.13568636775016785, 0.0, 0.0, 0.0, 0.20180554687976837, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,6954,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.7011867761611938, 0.055133379995822906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09355729073286057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21275493502616882, 0.0, 0.0]"
3,30973,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.36929187178611755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13589994609355927, 0.0, 0.12501853704452515, 0.051495376974344254, 0.0, 0.0, 0.083994060754776, 0.0, 0.0, 0.07867394387722015, 0.0, 0.0]"
4,428333,"[0.0, 0.0, 0.0, 0.0, 0.10121332854032516, 0.15499043464660645, 0.0, 0.0, 0.0, 0.0, 0.07827886193990707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21298524737358093, 0.1322205513715744, 0.0, 0.13720591366291046, 0.0, 0.0, 0.0, 0.13620886206626892, 0.0, 0.0, 0.0, 0.0, 0.09578144550323486]"
5,465973,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.28703513741493225, 0.0, 0.0, 0.0, 0.05325495824217796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11362702399492264, 0.12648320198059082, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08952483534812927, 0.0, 0.0, 0.15436486899852753, 0.0, 0.0]"
6,612473,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.20372295379638672, 0.0, 0.0, 0.0, 0.10970410704612732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2042863816022873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31655821204185486, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,621523,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2439364492893219, 0.059736281633377075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06916386634111404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35745105147361755, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,621543,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3130285143852234, 0.05937478691339493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05892500281333923, 0.169061079621315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09376402199268341, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,621573,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.40321916341781616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06683236360549927, 0.10253100097179413, 0.0, 0.1544395238161087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1312689185142517, 0.0, 0.0]"
