,UserId,FinalInterests
10,624413,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.16306829452514648, 0.0, 0.0, 0.0, 0.09091334044933319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38922086358070374, 0.0, 0.0, 0.060954682528972626, 0.0, 0.06328503042459488]"
11,646193,"[0.05823342129588127, 0.0, 0.0, 0.0, 0.0, 0.48098114132881165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10715322941541672, 0.0, 0.0, 0.0, 0.05245278775691986, 0.0, 0.1270158439874649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09359478950500488, 0.07906058430671692, 0.0, 0.0, 0.24704134464263916, 0.0, 0.12409468740224838]"
12,681473,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.45262768864631653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09990918636322021, 0.0, 0.09948636591434479, 0.0, 0.0, 0.0, 0.0993252545595169, 0.0, 0.0, 0.08516860008239746, 0.0, 0.0]"
13,742143,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08907496929168701, 0.07997244596481323, 0.0, 0.0, 0.1119246557354927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23248963057994843, 0.0, 0.08338375389575958, 0.0, 0.0, 0.0, 0.15549419820308685, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,759251,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5097140669822693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11056596040725708, 0.0, 0.08541437983512878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09396618604660034, 0.0, 0.0]"
15,786764,"[0.0, 0.0, 0.1464260071516037, 0.0, 0.0, 0.235857754945755, 0.0, 0.0, 0.0, 0.14318391680717468, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18667827546596527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0705009251832962, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,788524,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.25154927372932434, 0.0, 0.0, 0.0, 0.2634294629096985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05784156918525696, 0.19319728016853333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11531835794448853, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,800594,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.07290740311145782, 0.5543547868728638, 0.0, 0.06799837946891785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08872362226247787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18867750465869904, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,807095,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2626183331012726, 0.0, 0.0, 0.0, 0.12734068930149078, 0.1264687180519104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05689626187086105, 0.0, 0.1367870271205902, 0.0, 0.15466421842575073, 0.0, 0.0, 0.0, 0.08126524090766907, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,811377,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.19258210062980652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08206930756568909, 0.10145211219787598, 0.0, 0.17181682586669922, 0.0, 0.0, 0.0, 0.10309934616088867, 0.0, 0.09680052846670151, 0.07928092032670975, 0.0, 0.0]"
20,811407,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.16542047262191772, 0.0747796818614006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06308964639902115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48230332136154175, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,813286,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.45063352584838867, 0.0, 0.0, 0.0, 0.10716816782951355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12926259636878967, 0.0, 0.05733748525381088, 0.0, 0.0, 0.0, 0.06138584390282631, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,816653,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3058798313140869, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06909973919391632, 0.0, 0.32355839014053345, 0.0, 0.0, 0.0, 0.09714303910732269, 0.0, 0.0, 0.0, 0.0, 0.05533764511346817]"
23,819800,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3449329137802124, 0.0, 0.0, 0.0, 0.10612691193819046, 0.06255596876144409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05365093797445297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12704570591449738, 0.0, 0.0, 0.07407329976558685, 0.0, 0.0]"
24,891991,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3383904993534088, 0.08237216621637344, 0.0, 0.0, 0.1355905532836914, 0.0, 0.0, 0.05447534844279289, 0.0, 0.0, 0.0, 0.05463232845067978, 0.0, 0.05988874286413193, 0.0, 0.07133981585502625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,917171,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3361456096172333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06012420356273651, 0.0, 0.0, 0.0, 0.0, 0.07483295351266861, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.060554541647434235]"
26,961201,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.412072092294693, 0.05311153829097748, 0.0, 0.07409118115901947, 0.0, 0.0, 0.0, 0.05873636528849602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09133042395114899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13022148609161377]"
27,972651,"[0.0, 0.05330507084727287, 0.0, 0.0, 0.0, 0.19357669353485107, 0.0, 0.0, 0.0, 0.058644190430641174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057897716760635376, 0.0, 0.32094329595565796, 0.0, 0.0, 0.0, 0.11189277470111847, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,1068831,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3412739932537079, 0.0, 0.0, 0.05112352594733238, 0.262118399143219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07625473290681839, 0.0, 0.0, 0.18024574220180511, 0.057211026549339294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,1175221,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.20395275950431824, 0.06222601607441902, 0.0, 0.0, 0.10146432369947433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06792180985212326, 0.0, 0.14585083723068237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051592450588941574, 0.0, 0.0, 0.05493636429309845, 0.0, 0.0]"
30,1435461,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4328899383544922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1627122014760971, 0.0, 0.07454260438680649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.060477256774902344, 0.0, 0.0]"
31,1440641,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.43637150526046753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1630203127861023, 0.06385019421577454, 0.0, 0.07637886703014374, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,1496971,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5403913855552673, 0.05334937199950218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0563247874379158, 0.056771181523799896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06517720222473145, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,1501471,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.37560567259788513, 0.0, 0.0, 0.0597728006541729, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07265178859233856, 0.0, 0.0, 0.08106745034456253, 0.06838405877351761, 0.0, 0.0, 0.052986737340688705, 0.0, 0.0, 0.06575548648834229, 0.0, 0.0]"
34,1652541,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2398693561553955, 0.11148243397474289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06808879971504211, 0.17878645658493042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09134727716445923, 0.0, 0.0, 0.10392085462808609, 0.0, 0.0]"
35,1678681,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5052659511566162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07980553060770035, 0.0, 0.0, 0.059461209923028946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,1754641,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2627756595611572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05028153955936432, 0.10008873790502548, 0.0, 0.15193228423595428, 0.0, 0.0, 0.0, 0.11372554302215576, 0.0, 0.0, 0.05127453804016113, 0.0, 0.0]"
37,1877831,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.12278836965560913, 0.0, 0.0, 0.0, 0.1301266849040985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31145432591438293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07246005535125732, 0.0, 0.0, 0.13601601123809814, 0.0, 0.0]"
38,1934931,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.38803020119667053, 0.0791349932551384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05103263258934021, 0.10762856900691986, 0.0, 0.0813479870557785, 0.0, 0.0, 0.0, 0.053499240428209305, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,2097571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.21493887901306152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37268343567848206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12812501192092896, 0.0, 0.0]"
40,2334361,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.09547942131757736, 0.0, 0.0, 0.08637529611587524, 0.08662757277488708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.181052103638649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4420388340950012]"
41,2467791,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.13303440809249878, 0.0, 0.0, 0.0, 0.1713331639766693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34789368510246277, 0.0, 0.05977531895041466, 0.0, 0.0, 0.0, 0.11051329970359802, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,2557521,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2697170674800873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09634596109390259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44769737124443054, 0.0, 0.0, 0.0827937200665474, 0.0, 0.0]"
43,2735591,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.48899829387664795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06500178575515747, 0.07392360270023346, 0.0, 0.06598985940217972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09100781381130219, 0.0, 0.0]"
44,2797701,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2312866747379303, 0.0, 0.0, 0.0, 0.05927746370434761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4115101993083954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08871243894100189, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,2836421,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.16378197073936462, 0.2882530391216278, 0.0, 0.0, 0.0, 0.17331087589263916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07445468008518219, 0.0, 0.0, 0.14730897545814514, 0.0, 0.0]"
46,2883841,"[0.0, 0.0, 0.0, 0.0, 0.2261858433485031, 0.19524025917053223, 0.08126571774482727, 0.0, 0.0, 0.06778468936681747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10677561163902283, 0.0, 0.0, 0.0844985693693161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
47,2884771,"[0.0, 0.20972368121147156, 0.0, 0.0, 0.0, 0.22740912437438965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07050756365060806, 0.0, 0.11164567619562149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06875549256801605, 0.0, 0.0]"
48,2890961,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.45773544907569885, 0.0, 0.0, 0.0, 0.06369946151971817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10206424444913864, 0.0, 0.06524471193552017, 0.0, 0.0, 0.0, 0.06195869669318199, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,3108351,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.15215356647968292, 0.0, 0.0, 0.0, 0.10875681042671204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08320443332195282, 0.0, 0.0, 0.0, 0.4138822853565216, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,3135241,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.494427353143692, 0.09315997362136841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0966499075293541, 0.0, 0.09366890788078308, 0.0, 0.0, 0.0, 0.05994284525513649, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,3459051,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.14055147767066956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08561065047979355, 0.0, 0.0, 0.0, 0.0, 0.07247117906808853, 0.4882781207561493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09036248177289963, 0.0, 0.0]"
52,3701401,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4478054940700531, 0.0906248390674591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08400138467550278, 0.0, 0.0, 0.0, 0.0, 0.061317846179008484, 0.0, 0.09645161032676697, 0.0, 0.0, 0.0, 0.07162529230117798, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,3819701,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.37957265973091125, 0.0, 0.0, 0.0, 0.08165237307548523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14848053455352783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062494438141584396, 0.0, 0.0, 0.07586164772510529, 0.0, 0.0]"
54,4214321,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.12432283163070679, 0.5795416235923767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08679579943418503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
55,4278201,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.21163398027420044, 0.0, 0.0, 0.10308268666267395, 0.09347989410161972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08017245680093765, 0.0, 0.10695648938417435, 0.0, 0.0, 0.0, 0.11228956282138824, 0.0, 0.0, 0.0, 0.0, 0.0]"
56,4641021,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.31242990493774414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12726819515228271, 0.0, 0.1112203598022461, 0.0, 0.0, 0.0, 0.06489315629005432, 0.0, 0.0, 0.15500976145267487, 0.0, 0.0]"
57,4795701,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.13765189051628113, 0.0, 0.0, 0.07092103362083435, 0.05950173735618591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10934018343687057, 0.06614146381616592, 0.0, 0.06643737107515335, 0.053457435220479965, 0.08770683407783508, 0.0, 0.20025812089443207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2152196764945984]"
58,4898091,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.21281659603118896, 0.0, 0.0, 0.0, 0.059241876006126404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2992306351661682, 0.15210142731666565, 0.0, 0.06520386040210724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
59,4970411,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.12714621424674988, 0.0, 0.0, 0.0, 0.10489282757043839, 0.0, 0.0, 0.08431488275527954, 0.0, 0.0, 0.0, 0.0, 0.06683693826198578, 0.2569597661495209, 0.0, 0.0, 0.05363152176141739, 0.0, 0.0, 0.23711924254894257, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,5225991,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.22059935331344604, 0.056121740490198135, 0.0, 0.0, 0.07276005297899246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06427457183599472, 0.0, 0.0, 0.06425400823354721, 0.0, 0.0, 0.0, 0.36965811252593994, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,5357812,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2520796060562134, 0.41165709495544434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09313216805458069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
62,5392522,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.27152079343795776, 0.0, 0.0, 0.0, 0.11651023477315903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16735175251960754, 0.0, 0.09934574365615845, 0.0, 0.0, 0.0, 0.09228339791297913, 0.0, 0.0, 0.05705580115318298, 0.0, 0.0]"
63,5406692,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5839285850524902, 0.0, 0.0, 0.0, 0.06369522213935852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0503532811999321, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
64,5520952,"[0.0, 0.0, 0.06006218492984772, 0.0, 0.0, 0.3711494207382202, 0.0, 0.0, 0.1558104306459427, 0.07723230123519897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08366362750530243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
65,5741722,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2942383885383606, 0.0, 0.0, 0.0, 0.2523641884326935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11708304286003113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06349919736385345, 0.0, 0.0]"
66,5845972,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2638039290904999, 0.0, 0.0, 0.0, 0.21454046666622162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1177259162068367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09220737218856812, 0.0, 0.0]"
67,5971922,"[0.0, 0.0, 0.0, 0.0, 0.057026512920856476, 0.5038537383079529, 0.0, 0.0, 0.0, 0.10561421513557434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06278567761182785, 0.08766038715839386, 0.05211701989173889, 0.0, 0.13197661936283112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08207795023918152, 0.0, 0.0615231953561306]"
68,5988062,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.14667338132858276, 0.0, 0.0, 0.0, 0.11928095668554306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1220824122428894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34218451380729675, 0.0, 0.0, 0.11628588289022446, 0.0, 0.0]"
69,6017542,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.25734376907348633, 0.07057282328605652, 0.0, 0.0, 0.13387107849121094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07405722141265869, 0.1771758645772934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05778520181775093, 0.0, 0.0, 0.08025297522544861, 0.0, 0.0]"
70,6123762,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.49991387128829956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058134570717811584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061940696090459824, 0.0, 0.0]"
71,6134882,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.37945088744163513, 0.0, 0.0, 0.0, 0.08794272691011429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10659484565258026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1598985493183136, 0.0, 0.0, 0.07980704307556152, 0.0, 0.0]"
72,6361512,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0703209936618805, 0.07550467550754547, 0.0, 0.0, 0.12962232530117035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1408851146697998, 0.0, 0.12590333819389343, 0.0, 0.057615771889686584, 0.0, 0.0, 0.0, 0.1384325623512268, 0.0, 0.0, 0.06598303467035294, 0.0, 0.0]"
73,6433472,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.16123108565807343, 0.0, 0.0, 0.0, 0.1483442187309265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05864734947681427, 0.2800038456916809, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10332605242729187, 0.0, 0.0, 0.0, 0.0, 0.0]"
74,6652032,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10524081438779831, 0.0, 0.0, 0.08587172627449036, 0.08019735664129257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22804352641105652, 0.11041068285703659, 0.05230274051427841, 0.08384014666080475, 0.0, 0.0, 0.0, 0.0, 0.11896282434463501, 0.06749618053436279, 0.0, 0.0, 0.0, 0.0]"
