"Id";"TweetId";"Text";"StartIndex";"EndIndex";"EntityTypeCode";"Url";"ExpandedUrl";"DisplayUrl";"Name";"ScreenName";"UserOrMediaId";"MediaUrl";"MediaUrlHttps";"MediaType";"MediaSize"
367;3092758357086208;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
368;3092758357086208;"Indonesia";28;38;4;"";"";"";"";"";0;"";"";"";""
369;3092758357086208;"volcano";39;47;4;"";"";"";"";"";0;"";"";"";""
370;3090991347138560;"http://nyti.ms/9U7SKJ";62;83;2;"http://nyti.ms/9U7SKJ";"http://artsbeat.blogs.nytimes.com/2010/11/12/kanye-west-says-he-wont-perform-concert-on-today/?src=twt&twt=nytimestv";"http://nyti.ms/9U7SKJ";"";"";0;"";"";"";""
371;3093008308240385;"http://nyti.ms/9U7SKJ";77;98;2;"http://nyti.ms/9U7SKJ";"http://artsbeat.blogs.nytimes.com/2010/11/12/kanye-west-says-he-wont-perform-concert-on-today/?src=twt&twt=nytimestv";"http://nyti.ms/9U7SKJ";"";"";0;"";"";"";""
372;3093008308240385;"nytimestv";3;13;3;"";"";"";"NYTimes TV";"nytimestv";16929216;"";"";"";""
375;3093097294598144;"http://nyti.ms/cF6hmK";42;63;2;"http://nyti.ms/cF6hmK";"http://lens.blogs.nytimes.com/2010/11/12/timeless-stories-in-1970s-new-york/";"http://nyti.ms/cF6hmK";"";"";0;"";"";"";""
376;3093097294598144;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
377;3093097294598144;"photos";64;71;4;"";"";"";"";"";0;"";"";"";""
378;3092203274506241;"http://bbc.in/bAqehp";34;54;2;"http://bbc.in/bAqehp";"http://www.bbc.co.uk/news/uk-11742056?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/bAqehp";"";"";0;"";"";"";""
379;3093109999144960;"http://bbc.in/bAqehp";48;68;2;"http://bbc.in/bAqehp";"http://www.bbc.co.uk/news/uk-11742056?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/bAqehp";"";"";0;"";"";"";""
380;3093109999144960;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
381;3093004088778752;"http://nyti.ms/a7xN0I";39;60;2;"http://nyti.ms/a7xN0I";"http://www.nytimes.com/aponline/2010/11/12/world/europe/AP-EU-Poland-Obit-Gorecki.html?src=twt&twt=nytimes";"http://nyti.ms/a7xN0I";"";"";0;"";"";"";""
382;3093203230138369;"http://nyti.ms/a7xN0I";52;73;2;"http://nyti.ms/a7xN0I";"http://www.nytimes.com/aponline/2010/11/12/world/europe/AP-EU-Poland-Obit-Gorecki.html?src=twt&twt=nytimes";"http://nyti.ms/a7xN0I";"";"";0;"";"";"";""
383;3093203230138369;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
385;3093259563835392;"http://nyti.ms/a7xN0I";52;73;2;"http://nyti.ms/a7xN0I";"http://www.nytimes.com/aponline/2010/11/12/world/europe/AP-EU-Poland-Obit-Gorecki.html?src=twt&twt=nytimes";"http://nyti.ms/a7xN0I";"";"";0;"";"";"";""
386;3093259563835392;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
388;3093286449319936;"http://nyti.ms/a7xN0I";52;73;2;"http://nyti.ms/a7xN0I";"http://www.nytimes.com/aponline/2010/11/12/world/europe/AP-EU-Poland-Obit-Gorecki.html?src=twt&twt=nytimes";"http://nyti.ms/a7xN0I";"";"";0;"";"";"";""
389;3093286449319936;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
392;3093329961029632;"http://nyti.ms/cF6hmK";47;68;2;"http://nyti.ms/cF6hmK";"http://lens.blogs.nytimes.com/2010/11/12/timeless-stories-in-1970s-new-york/";"http://nyti.ms/cF6hmK";"";"";0;"";"";"";""
