"Id";"TweetId";"Text";"StartIndex";"EndIndex";"EntityTypeCode";"Url";"ExpandedUrl";"DisplayUrl";"Name";"ScreenName";"UserOrMediaId";"MediaUrl";"MediaUrlHttps";"MediaType";"MediaSize"
3299;3509699169226752;"CNN";3;7;3;"";"";"";"CNN";"CNN";759251;"";"";"";""
3300;3501948779106304;"http://nyti.ms/bsvYlP";29;50;2;"http://nyti.ms/bsvYlP";"http://www.nytimes.com/2010/11/14/business/global/14haiti.html?src=twt&twt=nytimesworld";"http://nyti.ms/bsvYlP";"";"";0;"";"";"";""
3301;3510375320391680;"http://nyti.ms/bsvYlP";47;68;2;"http://nyti.ms/bsvYlP";"http://www.nytimes.com/2010/11/14/business/global/14haiti.html?src=twt&twt=nytimesworld";"http://nyti.ms/bsvYlP";"";"";0;"";"";"";""
3302;3510375320391680;"nytimesworld";3;16;3;"";"";"";"NYTimes World";"nytimesworld";1877831;"";"";"";""
3304;3510441082888192;"http://bbc.in/cXlOkY";38;58;2;"http://bbc.in/cXlOkY";"http://news.bbc.co.uk/sport2/hi/rugby_union/9177377.stm?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/cXlOkY";"";"";0;"";"";"";""
3305;3510441082888192;"BBCNews";3;11;3;"";"";"";"BBC News";"BBCNews";612473;"";"";"";""
3306;3495106371919872;"http://nyti.ms/9nJbIm";42;63;2;"http://nyti.ms/9nJbIm";"http://www.nytimes.com/2010/11/14/world/americas/14nicaragua.html?src=twt&twt=nytimesworld";"http://nyti.ms/9nJbIm";"";"";0;"";"";"";""
3307;3510566014418944;"http://nyti.ms/9nJbIm";60;81;2;"http://nyti.ms/9nJbIm";"http://www.nytimes.com/2010/11/14/world/americas/14nicaragua.html?src=twt&twt=nytimesworld";"http://nyti.ms/9nJbIm";"";"";0;"";"";"";""
3308;3510566014418944;"nytimesworld";3;16;3;"";"";"";"NYTimes World";"nytimesworld";1877831;"";"";"";""
3309;3477042540576769;"http://nyti.ms/awzwVl";63;84;2;"http://nyti.ms/awzwVl";"http://intransit.blogs.nytimes.com/2010/11/13/punta-del-este-uruguay-inaugurates-food-festival/?src=twt&twt=nytimestravel";"http://nyti.ms/awzwVl";"";"";0;"";"";"";""
3310;3510797334482944;"http://nyti.ms/awzwVl";82;103;2;"http://nyti.ms/awzwVl";"http://intransit.blogs.nytimes.com/2010/11/13/punta-del-este-uruguay-inaugurates-food-festival/?src=twt&twt=nytimestravel";"http://nyti.ms/awzwVl";"";"";0;"";"";"";""
3311;3510797334482944;"nytimestravel";3;17;3;"";"";"";"NYTimes Travel";"nytimestravel";1774391;"";"";"";""
3313;3511470075678720;"http://nyti.ms/arDY5z";60;81;2;"http://nyti.ms/arDY5z";"http://www.nytimes.com/2010/11/14/us/politics/14shuler.html?src=twt&twt=nytimes";"http://nyti.ms/arDY5z";"";"";0;"";"";"";""
3314;3511470075678720;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
3315;3509448333074432;"http://bbc.in/abNoHB";34;54;2;"http://bbc.in/abNoHB";"http://www.bbc.co.uk/news/world-europe-11751246?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/abNoHB";"";"";0;"";"";"";""
3316;3511507140743168;"http://bbc.in/abNoHB";48;68;2;"http://bbc.in/abNoHB";"http://www.bbc.co.uk/news/world-europe-11751246?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/abNoHB";"";"";0;"";"";"";""
3317;3511507140743168;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3318;3511838754996224;"BBCWorld";127;136;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3320;3512021542768641;"http://nyti.ms/95phd2";64;85;2;"http://nyti.ms/95phd2";"http://www.nytimes.com/2010/11/14/us/14pot.html?src=twt&twt=nytimes";"http://nyti.ms/95phd2";"";"";0;"";"";"";""
3321;3512021542768641;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
3323;3512719491731456;"http://bbc.in/abNoHB";48;68;2;"http://bbc.in/abNoHB";"http://www.bbc.co.uk/news/world-europe-11751246?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/abNoHB";"";"";0;"";"";"";""
3324;3512719491731456;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
3326;3512909862801408;"http://nyti.ms/arDY5z";60;81;2;"http://nyti.ms/arDY5z";"http://www.nytimes.com/2010/11/14/us/politics/14shuler.html?src=twt&twt=nytimes";"http://nyti.ms/arDY5z";"";"";0;"";"";"";""
3327;3512909862801408;"nytimes";3;11;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
3328;3513838355877888;"CNN";0;4;3;"";"";"";"CNN";"CNN";759251;"";"";"";""
3329;3513838355877888;"TrueStory";88;98;4;"";"";"";"";"";0;"";"";"";""
3330;3473687856553985;"http://nyti.ms/cPfenK";43;64;2;"http://nyti.ms/cPfenK";"http://thelede.blogs.nytimes.com/2010/11/13/video-of-a-free-aung-san-suu-kyi/?src=twt&twt=nytimesworld";"http://nyti.ms/cPfenK";"";"";0;"";"";"";""
3331;3514761945812992;"http://nyti.ms/cPfenK";61;82;2;"http://nyti.ms/cPfenK";"http://thelede.blogs.nytimes.com/2010/11/13/video-of-a-free-aung-san-suu-kyi/?src=twt&twt=nytimesworld";"http://nyti.ms/cPfenK";"";"";0;"";"";"";""
3332;3514761945812992;"nytimesworld";3;16;3;"";"";"";"NYTimes World";"nytimesworld";1877831;"";"";"";""
3333;3514770581880833;"nytimes";0;8;3;"";"";"";"The New York Times";"nytimes";807095;"";"";"";""
3334;3514770581880833;"50cent";32;39;3;"";"";"";"50cent";"50cent";18222378;"";"";"";""
3335;3514770581880833;"teamfollowback";47;62;4;"";"";"";"";"";0;"";"";"";""
