TSA,Christmas,Energy Drinks,Alcoholic,F.D.A,Can,but not,economist,wine,bill
0.096, 0.060, 0.049, 0.048, 0.039, 0.037, 0.035, 0.028, 0.027, 0.025
I'm,love,job,Life,Think,Haha,learn,heart,smile,tacos
0.152, 0.127, 0.108, 0.077, 0.063, 0.055, 0.055, 0.054, 0.043, 0.039
Aung San Suu Kyi,Myanmar,activist,house arrest,state,don,debt,Europe,Stocks,Dow
0.117, 0.096, 0.062, 0.056, 0.056, 0.054, 0.049, 0.043, 0.041, 0.035
British,Somali pirates,yacht,captivity,law,well,Brazil,TV,real,watch
0.188, 0.115, 0.101, 0.097, 0.051, 0.047, 0.039, 0.036, 0.034, 0.025
haha,out,up,Venezuela,Paris,German,yeah,common,Security,me
0.118, 0.110, 0.091, 0.038, 0.033, 0.026, 0.025, 0.024, 0.024, 0.024
Arizona,to win,im,privacy,medical  marijuana,marijuana law,ABC,security,rock,AP
0.098, 0.081, 0.066, 0.062, 0.060, 0.060, 0.038, 0.037, 0.034, 0.030
lol,think,will,nice,song,back,him,can,one,ok
0.336, 0.084, 0.055, 0.050, 0.035, 0.032, 0.029, 0.029, 0.028, 0.025
para,es,trial,Nice,este,President Obama,pregnancy,tax cuts,middle class,Scotland
0.217, 0.082, 0.054, 0.053, 0.051, 0.046, 0.038, 0.032, 0.029, 0.025
family,Ohio,man,teen,basement,members,safe,kidnapping,charged,Night Raids
0.107, 0.086, 0.084, 0.081, 0.080, 0.076, 0.073, 0.072, 0.069, 0.020
CNN,President,McConnell,federal,no regrets,bailout,George W.  Bush,premiere,restaurant,ppl
0.139, 0.096, 0.062, 0.057, 0.054, 0.053, 0.053, 0.032, 0.032, 0.031
Lol,iPad,People,Sen,human,me a,apps,thing,ur,Obama
0.138, 0.100, 0.060, 0.057, 0.043, 0.038, 0.038, 0.037, 0.035, 0.034
Who,Green,Harry Potter,red carpet,Mars,Study,Risk,Ancient,leadership,Rain
0.061, 0.047, 0.026, 0.026, 0.025, 0.024, 0.023, 0.023, 0.021, 0.021
Blog,CNN,read,Heat,America,Back,Team,NY,Cowboys,College
0.379, 0.027, 0.021, 0.015, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013
time,work,Yes,wasn,football,feeling,God,this morning,Mexican,show
0.173, 0.103, 0.068, 0.057, 0.053, 0.048, 0.040, 0.038, 0.032, 0.029
US,House,spot,Democrats,species,in  House,squid,Italian,sun,Israel
0.120, 0.102, 0.091, 0.083, 0.072, 0.065, 0.038, 0.036, 0.034, 0.033
voters,measure,Arizona,medical  marijuana,business,California,San Francisco,Nicaragua,Little,TV
0.076, 0.073, 0.063, 0.061, 0.033, 0.022, 0.022, 0.020, 0.020, 0.020
Egypt,Afghan,Day,Muslims,case,Survivor,torture,photos,Pictures,Congressional
0.067, 0.058, 0.057, 0.047, 0.046, 0.046, 0.043, 0.042, 0.037, 0.032
Twitter,tweet,UK,Seven,Kosovo,working,give me,Word of the Year,Jane Goodall,Chimpanzees
0.196, 0.109, 0.078, 0.055, 0.054, 0.036, 0.028, 0.026, 0.025, 0.025
who,people,am,crazy,Airport,Video,radiation,do,hate,will
0.123, 0.101, 0.083, 0.058, 0.049, 0.045, 0.040, 0.039, 0.038, 0.029
Sale,producer,wife,Mexico,jewelry,death,arrested,million,TV producer,Reality TV
0.058, 0.058, 0.057, 0.052, 0.048, 0.048, 0.045, 0.044, 0.043, 0.041
FBI,arrested,charges,Mississippi,declared dead,kidnapping,Ireland,if,EU,Global
0.090, 0.088, 0.075, 0.071, 0.066, 0.062, 0.055, 0.050, 0.042, 0.041
go,U.S,million,food insecure,Medal of Honor,living,Producer,bug,book,Facebook
0.114, 0.101, 0.091, 0.065, 0.064, 0.055, 0.043, 0.037, 0.036, 0.033
Haiti,cholera,death,death toll,toll,life,See,Yahoo,Stock,weekend
0.197, 0.150, 0.125, 0.099, 0.087, 0.066, 0.021, 0.017, 0.015, 0.014
Deficit,Attention,Focus,National,Greece,sea,Spain,UK,Iran,Emma Watson
0.055, 0.052, 0.045, 0.045, 0.031, 0.029, 0.028, 0.028, 0.028, 0.027
country,cant,people,BBC,mine,Obama,police,form,us,England
0.043, 0.042, 0.036, 0.032, 0.027, 0.026, 0.024, 0.023, 0.021, 0.021
music,Beatles,iTunes,tonight,Retweet,Jay-Z,media,episodes,Brain,Muslim
0.081, 0.047, 0.042, 0.039, 0.034, 0.031, 0.029, 0.028, 0.026, 0.026
Indonesia,Death,New York,volcano,Lede,Lance Armstrong,Fox,Airbus,NYT,Spies
0.048, 0.043, 0.042, 0.040, 0.039, 0.034, 0.033, 0.031, 0.026, 0.025
engagement ring,Prince Charles,Kate  Middleton,Princess  Diana,Prince  William,play,Justice,UN,Sudan,Clinton
0.095, 0.093, 0.086, 0.085, 0.079, 0.053, 0.037, 0.033, 0.032, 0.032
China,un,high-rise fire,blog,Shanghai,state media,Shanghai  China,como,online,en
0.210, 0.077, 0.071, 0.063, 0.062, 0.047, 0.047, 0.035, 0.034, 0.025
Obama,Medal of Honor,Salvatore Giunta,Eagles,world,Staff Sergeant,Vick,U.S. Army,Data,Redskins
0.095, 0.088, 0.067, 0.057, 0.054, 0.053, 0.050, 0.047, 0.044, 0.041
Iraq,information,Reuters,panel,FLASH,strike,Euro,Rich,Christians,sees
0.161, 0.093, 0.079, 0.053, 0.047, 0.041, 0.035, 0.033, 0.032, 0.031
Can,Gay,Pres,special,Obama,demand,don't ask, don't tell,Environmental,Reusable Bags
0.062, 0.049, 0.048, 0.046, 0.041, 0.039, 0.038, 0.038, 0.037, 0.037
Cuba,Ireland,Eurozone,PM,sell,culture,bailout,Diana,GM,US
0.064, 0.034, 0.026, 0.023, 0.023, 0.022, 0.020, 0.019, 0.019, 0.018
World,sleep,peace,Time,Scientist,mind,fear,aren,Work: Life,Award-Winning
0.097, 0.059, 0.055, 0.047, 0.046, 0.044, 0.042, 0.038, 0.037, 0.035
hospital,Music,Zsa Zsa Gabor,blood clot,leg,infection,Swollen,Times,Jets,Brooklyn
0.089, 0.088, 0.080, 0.070, 0.067, 0.062, 0.062, 0.054, 0.047, 0.032
campus,Ohio,Ohio State,after bomb,bomb threat,will,government,officials,Guantanamo,Guantanamo detainees
0.078, 0.078, 0.073, 0.072, 0.071, 0.067, 0.040, 0.040, 0.040, 0.035
video,Media,Asia,Canadian,President Obama,Decoder,down,Stay tuned,letter,Catholic
0.646, 0.038, 0.032, 0.028, 0.027, 0.025, 0.017, 0.014, 0.014, 0.014
deficit,hunger,this week,ll,North Korea,grain,Oh,ESPN,DWTS,Glee
0.091, 0.059, 0.059, 0.055, 0.053, 0.053, 0.050, 0.025, 0.025, 0.024
girl,U.S,Israel,West Bank,Australia,construction,England,cheers,Mandela,Kyi
0.231, 0.054, 0.052, 0.048, 0.040, 0.038, 0.038, 0.034, 0.032, 0.031
ethics,Rangel,Free,Qantas,flight,emergency landing,Cowboys,Giants,walks,Blackout
0.099, 0.080, 0.074, 0.058, 0.051, 0.050, 0.045, 0.041, 0.039, 0.037
Facebook,email,kill,Android,Tool,focus,Messaging,now,officers,troops
0.099, 0.053, 0.050, 0.049, 0.046, 0.045, 0.041, 0.039, 0.034, 0.033
oh,time,study,healthcare,good,re,da,Bills,system,won
0.070, 0.054, 0.040, 0.038, 0.036, 0.035, 0.034, 0.028, 0.026, 0.025
Mexico,hotel,blast,eat,building,die,Gmail,Delhi,windows,launch
0.072, 0.069, 0.061, 0.046, 0.041, 0.035, 0.034, 0.034, 0.031, 0.031
hacker,e-mail,prison,sentenced,billion,Sarah Palin,year and a day,Secret,U.S. Aid,Papers
0.057, 0.057, 0.039, 0.038, 0.038, 0.036, 0.036, 0.031, 0.030, 0.030
