Unnamed: 0,NewsId,UserId,TweetId,ExpandedUrl,ShortUrl,DisplayUrl,SourceUrl,PublicationTime,TopicInterests
2,2,21478415,9834109190803456,http://yfrog.com/fy1oz0j,http://yfrog.com/fy1oz0j,http://yfrog.com/fy1oz0j,http://yfrog.com,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.231, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23, 0.0, 0.0, 0.0, 0.0]"
10,10,156494790,9834396198641665,https://bitly.com/,http://bit.ly,http://bit.ly,https://bitly.com,,"[0.0, 0.061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.141, 0.087, 0.0, 0.0, 0.0, 0.049, 0.0, 0.237, 0.0, 0.0, 0.093, 0.0, 0.0, 0.0, 0.175, 0.142, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,14,29711378,9834519863492608,http://j.mp/dLpGyK,http://j.mp/dLpGyK,http://j.mp/dLpGyK,http://j.mp,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.173, 0.0, 0.0, 0.552, 0.0, 0.219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,16,116973704,9834573571555329,http://plixi.com/p/60233909,http://plixi.com/p/60233909,http://plixi.com/p/60233909,http://plixi.com,,"[0.024, 0.028, 0.024, 0.0, 0.041, 0.025, 0.068, 0.0, 0.063, 0.016, 0.053, 0.034, 0.05, 0.0, 0.025, 0.038, 0.028, 0.093, 0.0, 0.03, 0.013, 0.036, 0.037, 0.047, 0.07, 0.034, 0.073, 0.0, 0.017, 0.016]"
19,19,156494790,9834619486605312,http://fb.me/vB,http://fb.me/vB,http://fb.me/vB,http://fb.me,,"[0.422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,23,103415179,9834767813971970,http://bit.ly/gg2mmO,http://bit.ly/gg2mmO,http://bit.ly/gg2mmO,http://bit.ly,2010-12-01 05:00:23+00:00,"[0.051, 0.066, 0.012, 0.0, 0.0, 0.043, 0.072, 0.017, 0.042, 0.0, 0.062, 0.0, 0.0, 0.0, 0.081, 0.0, 0.019, 0.141, 0.022, 0.049, 0.0, 0.01, 0.0, 0.0, 0.122, 0.0, 0.121, 0.013, 0.058, 0.0]"
27,27,89450929,9834855315546112,http://bit.ly/dErz9G,http://bit.ly/dErz9G,http://bit.ly/dErz9G,http://bit.ly,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.422, 0.422, 0.0, 0.0, 0.0, 0.0]"
30,30,57869243,9834887863345152,http://dlvr.it/9VL3d,http://dlvr.it/9VL3d,http://dlvr.it/9VL3d,http://dlvr.it,2010-12-01 05:00:38+00:00,"[0.0, 0.051, 0.048, 0.0, 0.067, 0.219, 0.049, 0.0, 0.022, 0.0, 0.019, 0.016, 0.0, 0.0, 0.046, 0.014, 0.031, 0.096, 0.0, 0.0, 0.021, 0.046, 0.023, 0.0, 0.04, 0.013, 0.039, 0.013, 0.061, 0.025]"
31,31,89450929,9834911447912448,http://bit.ly/efLU32,http://bit.ly/efLU32,http://bit.ly/efLU32,http://bit.ly,2010-11-30 20:41:14-06:00,"[0.0, 0.0, 0.0, 0.0, 0.019, 0.071, 0.062, 0.0, 0.0, 0.0, 0.056, 0.14, 0.05, 0.0, 0.023, 0.441, 0.0, 0.053, 0.0, 0.017, 0.0, 0.0, 0.047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019]"
35,35,21478415,9835020604669952,http://is.gd/i1In9,http://is.gd/i1In9,http://is.gd/i1In9,http://is.gd,,"[0.0, 0.049, 0.0, 0.0, 0.174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.143, 0.0, 0.0, 0.0, 0.318, 0.0, 0.0, 0.0, 0.0, 0.191, 0.0, 0.0, 0.06, 0.0, 0.0]"
39,39,48510756,9835111558156288,http://bit.ly/hRMHyR,http://bit.ly/hRMHyR,http://bit.ly/hRMHyR,http://bit.ly,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.464, 0.0, 0.0, 0.0, 0.0, 0.212, 0.0, 0.0, 0.0, 0.0, 0.097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.193]"
53,53,29711378,9835506632228864,http://j.mp/horpzh,http://j.mp/horpzh,http://j.mp/horpzh,http://j.mp,,"[0.0, 0.022, 0.037, 0.0, 0.014, 0.042, 0.086, 0.053, 0.0, 0.0, 0.0, 0.0, 0.042, 0.0, 0.043, 0.088, 0.077, 0.09, 0.024, 0.059, 0.023, 0.053, 0.017, 0.02, 0.065, 0.0, 0.119, 0.018, 0.0, 0.0]"
58,58,29711378,9835633920974848,http://twb.ly/aUDthM,http://twb.ly/aUDthM,http://twb.ly/aUDthM,http://twb.ly,,"[0.032, 0.032, 0.031, 0.034, 0.03, 0.036, 0.041, 0.033, 0.034, 0.03, 0.037, 0.034, 0.034, 0.028, 0.033, 0.039, 0.029, 0.043, 0.03, 0.033, 0.037, 0.031, 0.032, 0.033, 0.034, 0.033, 0.033, 0.032, 0.033, 0.03]"
64,64,103415179,9835742087880705,http://bit.ly/eL0ECi,http://bit.ly/eL0ECi,http://bit.ly/eL0ECi,http://bit.ly,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.188, 0.0, 0.0, 0.188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.373, 0.188, 0.0, 0.0, 0.0, 0.0, 0.0]"
65,65,103415179,9835743346163712,http://bit.ly/gdFYYG,http://bit.ly/gdFYYG,http://bit.ly/gdFYYG,http://bit.ly,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.188, 0.0, 0.0, 0.188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.373, 0.188, 0.0, 0.0, 0.0, 0.0, 0.0]"
66,66,103415179,9835744340221952,http://bit.ly/ffVnY8,http://bit.ly/ffVnY8,http://bit.ly/ffVnY8,http://bit.ly,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.188, 0.0, 0.0, 0.188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.373, 0.188, 0.0, 0.0, 0.0, 0.0, 0.0]"
